Loss: 1.2954, Epoch Duration: 1.11 seconds
Loss: 1.3978, Epoch Duration: 1.07 seconds
Loss: 1.4751, Epoch Duration: 1.01 seconds
Loss: 1.2329, Epoch Duration: 1.00 seconds
Loss: 1.3482, Epoch Duration: 1.01 seconds
Loss: 1.1881, Epoch Duration: 1.01 seconds
Loss: 1.2546, Epoch Duration: 1.01 seconds
Loss: 1.3204, Epoch Duration: 1.04 seconds
Loss: 1.1839, Epoch Duration: 0.98 seconds
Loss: 1.2788, Epoch Duration: 1.06 seconds
Loss: 1.3667, Epoch Duration: 0.92 seconds
Loss: 1.2850, Epoch Duration: 0.99 seconds
Loss: 1.1727, Epoch Duration: 1.01 seconds
Loss: 1.2700, Epoch Duration: 1.01 seconds
Loss: 1.1864, Epoch Duration: 0.99 seconds
Loss: 1.1513, Epoch Duration: 0.92 seconds
Loss: 1.4394, Epoch Duration: 1.04 seconds
Loss: 1.4147, Epoch Duration: 1.01 seconds
Loss: 1.2940, Epoch Duration: 0.93 seconds
Loss: 1.4044, Epoch Duration: 0.99 seconds
Loss: 1.4151, Epoch Duration: 1.12 seconds
Loss: 1.3378, Epoch Duration: 1.06 seconds
Loss: 1.1891, Epoch Duration: 0.93 seconds
Loss: 1.0746, Epoch Duration: 1.04 seconds
Loss: 1.1030, Epoch Duration: 0.95 seconds
Loss: 1.2034, Epoch Duration: 0.94 seconds
Loss: 1.2962, Epoch Duration: 1.11 seconds
Loss: 1.1171, Epoch Duration: 1.03 seconds
Loss: 1.2825, Epoch Duration: 1.05 seconds
Loss: 1.1711, Epoch Duration: 1.04 seconds
Loss: 1.1604, Epoch Duration: 0.97 seconds
Loss: 1.2611, Epoch Duration: 1.11 seconds
Loss: 1.1707, Epoch Duration: 1.08 seconds
Loss: 1.1042, Epoch Duration: 0.92 seconds
Loss: 1.2291, Epoch Duration: 1.05 seconds
Loss: 1.3616, Epoch Duration: 0.98 seconds
Loss: 1.2010, Epoch Duration: 1.11 seconds
Loss: 1.1580, Epoch Duration: 0.92 seconds
Loss: 1.1102, Epoch Duration: 1.01 seconds
Loss: 1.1314, Epoch Duration: 1.03 seconds
Loss: 1.2566, Epoch Duration: 0.93 seconds
Loss: 1.1820, Epoch Duration: 1.12 seconds
Loss: 1.2829, Epoch Duration: 1.03 seconds
Loss: 1.2045, Epoch Duration: 1.07 seconds
Loss: 1.1960, Epoch Duration: 1.17 seconds
Loss: 1.0669, Epoch Duration: 1.01 seconds
Loss: 1.1485, Epoch Duration: 0.90 seconds
Loss: 1.2040, Epoch Duration: 0.99 seconds
Loss: 1.2670, Epoch Duration: 1.06 seconds
Loss: 1.1229, Epoch Duration: 1.01 seconds
Loss: 1.0628, Epoch Duration: 0.95 seconds
Loss: 1.2805, Epoch Duration: 0.96 seconds
Loss: 1.1423, Epoch Duration: 1.03 seconds
Loss: 1.1310, Epoch Duration: 0.97 seconds
Loss: 1.3103, Epoch Duration: 0.94 seconds
Loss: 1.0428, Epoch Duration: 1.09 seconds
Loss: 1.1650, Epoch Duration: 0.99 seconds
Loss: 1.0947, Epoch Duration: 1.02 seconds
Loss: 1.2085, Epoch Duration: 1.05 seconds
Loss: 1.1232, Epoch Duration: 1.05 seconds
Loss: 1.2414, Epoch Duration: 0.90 seconds
Loss: 1.2075, Epoch Duration: 1.06 seconds
Loss: 1.1753, Epoch Duration: 1.10 seconds
